Date,Open,High,Low,Close,Volume,log_return
2025-08-01,210.23023901853355,212.93202387361222,200.88867142379772,201.76600646972656,104434500,-0.025321519331393285
2025-08-04,203.8895472057539,207.24933356384108,201.06813110178,202.7330780029297,75109300,0.004781584991822558
2025-08-05,202.78290655256814,204.71702329589334,201.54667827641916,202.3043670654297,44155100,-0.0021168961182062526
2025-08-06,205.00615029681612,214.72657006985978,204.96626313259566,212.60302734375,108483100,0.04965337441251654
2025-08-07,218.2159523061407,220.1799768073744,215.92292715514498,219.36245727539062,90224800,0.031298712343558535
2025-08-08,220.16001960779298,230.29916273925562,218.58481138779996,228.6541748046875,113854000,0.04148529065897621
2025-08-11,227.48640043221798,229.12327986736793,224.3324083989562,226.747802734375,61806100,-0.008372309739574823
2025-08-12,227.57622481823222,230.36092560837628,226.63802588155738,229.21310424804688,55626200,0.010813758371364397
2025-08-13,230.6304284784954,234.55294488479396,229.99163136972763,232.88612365722656,69878500,0.015897437361664515
2025-08-14,233.6147219132583,234.67270293292236,230.41083714463488,232.337158203125,51916300,-0.002360009613884975
2025-08-15,233.5548328767578,233.834298979768,228.9036945156081,231.1494140625,56038700,-0.005125269260025916
2025-08-18,231.25921652669462,232.67651332576617,229.672244959047,230.4507598876953,37476200,-0.003027098981898543
2025-08-19,230.84001516813981,232.42698672077375,228.9136940815642,230.1213836669922,39402600,-0.001430291785831238
2025-08-20,229.54248102593337,230.0315543310328,225.3404986724704,225.5800323486328,42263900,-0.01993191816954049
2025-08-21,225.83955683035407,226.08908123987146,223.35428822884654,224.47215270996094,30621200,-0.00492334850628289
2025-08-22,225.73973438952316,228.65417758009713,224.98118568943215,227.3267059326172,42477800,0.012636557853807327
2025-08-25,226.04912998143794,228.86377239669042,225.79960559269966,226.72784423828125,30983100,-0.0026378418247804086
2025-08-26,226.43840339540802,229.0534295301293,224.26255788237486,228.87376403808594,54575100,0.0094202286822618
2025-08-27,228.17510050695543,230.46073738560713,227.82576024347395,230.05152893066406,31259500,0.005132719840409774
