Date,Open,High,Low,Close,Volume
2026-04-13 13:30:00+00:00,259.67999267578125,259.7799987792969,258.0,258.6000061035156,1600710
2026-04-13 13:35:00+00:00,258.57000732421875,258.57000732421875,257.5199890136719,257.81500244140625,634918
2026-04-13 13:40:00+00:00,257.82598876953125,258.1199951171875,257.6300048828125,257.8949890136719,359085
2026-04-13 13:45:00+00:00,257.9200134277344,258.260009765625,257.5,258.17999267578125,493640
2026-04-13 13:50:00+00:00,258.1700134277344,258.5299987792969,257.29998779296875,257.5799865722656,438518
2026-04-13 13:55:00+00:00,257.57000732421875,257.7699890136719,257.20001220703125,257.5799865722656,424552
2026-04-13 14:00:00+00:00,257.5450134277344,257.6449890136719,256.70001220703125,257.0199890136719,708031
2026-04-13 14:05:00+00:00,257.010009765625,257.55999755859375,256.6600036621094,257.5400085449219,543751
2026-04-13 14:10:00+00:00,257.5450134277344,258.0,257.5,257.9150085449219,379317
2026-04-13 14:15:00+00:00,257.8900146484375,257.8900146484375,257.20001220703125,257.50201416015625,241874
2026-04-13 14:20:00+00:00,257.5,257.9200134277344,257.1099853515625,257.5849914550781,233281
2026-04-13 14:25:00+00:00,257.6000061035156,257.6300048828125,257.20001220703125,257.32000732421875,206177
2026-04-13 14:30:00+00:00,257.30999755859375,257.7900085449219,257.2699890136719,257.7101135253906,225422
2026-04-13 14:35:00+00:00,257.7049865722656,257.7049865722656,257.17999267578125,257.2200012207031,248812
2026-04-13 14:40:00+00:00,257.2099914550781,257.5,257.1300964355469,257.489990234375,223442
2026-04-13 14:45:00+00:00,257.4700012207031,257.4800109863281,257.1099853515625,257.1400146484375,293226
2026-04-13 14:50:00+00:00,257.1700134277344,257.4800109863281,257.1000061035156,257.45001220703125,348345
2026-04-13 14:55:00+00:00,257.43499755859375,257.82989501953125,257.2699890136719,257.80499267578125,303663
2026-04-13 15:00:00+00:00,257.82000732421875,257.8800048828125,257.45001220703125,257.55999755859375,419641
2026-04-13 15:05:00+00:00,257.5400085449219,257.7099914550781,257.4100036621094,257.6000061035156,341334
2026-04-13 15:10:00+00:00,257.6050109863281,257.7900085449219,257.489990234375,257.68499755859375,230732
2026-04-13 15:15:00+00:00,257.70001220703125,257.715087890625,257.2200012207031,257.2950134277344,289549
2026-04-13 15:20:00+00:00,257.30499267578125,257.6000061035156,257.2699890136719,257.4100036621094,216728
2026-04-13 15:25:00+00:00,257.4010009765625,257.80999755859375,257.3599853515625,257.7099914550781,354902
2026-04-13 15:30:00+00:00,257.7300109863281,257.760009765625,257.4800109863281,257.5400085449219,237244
2026-04-13 15:35:00+00:00,257.5350036621094,257.54998779296875,257.3450012207031,257.364990234375,196482
2026-04-13 15:40:00+00:00,257.3900146484375,257.5,257.0299987792969,257.114990234375,391888
2026-04-13 15:45:00+00:00,257.114990234375,257.2099914550781,257.039306640625,257.0849914550781,260635
2026-04-13 15:50:00+00:00,257.0799865722656,257.1700134277344,256.8599853515625,257.1000061035156,316390
2026-04-13 15:55:00+00:00,257.1000061035156,257.2300109863281,256.8999938964844,257.0,230061
2026-04-13 16:00:00+00:00,257.0199890136719,257.0899963378906,256.8807067871094,256.92999267578125,145709
2026-04-13 16:05:00+00:00,256.92999267578125,257.2900085449219,256.7900085449219,256.989990234375,317914
2026-04-13 16:10:00+00:00,256.989990234375,257.0450134277344,256.9100036621094,256.989990234375,208021
2026-04-13 16:15:00+00:00,256.989990234375,257.1470031738281,256.80999755859375,257.0799865722656,237779
2026-04-13 16:20:00+00:00,257.0899963378906,257.4800109863281,257.0118103027344,257.3900146484375,287799
2026-04-13 16:25:00+00:00,257.39898681640625,257.875,257.3500061035156,257.7799987792969,306476
2026-04-13 16:30:00+00:00,257.79010009765625,258.3349914550781,257.760009765625,257.94000244140625,271315
2026-04-13 16:35:00+00:00,257.92999267578125,258.3399963378906,257.80999755859375,257.80999755859375,237536
2026-04-13 16:40:00+00:00,257.8349914550781,258.0400085449219,257.5151062011719,257.989990234375,324189
2026-04-13 16:45:00+00:00,257.9800109863281,258.239990234375,257.8380126953125,257.8800048828125,249285
2026-04-13 16:50:00+00:00,257.8900146484375,258.2499084472656,257.7900085449219,257.8900146484375,243218
